label,message
ham,"Hey, are we still meeting later?"
ham,Don't forget to bring the documents.
ham,"Ok, see you then!"
ham,Thanks for your help today.
ham,Let's catch up tomorrow.
ham,"Ok, see you then!"
ham,Thanks for your help today.
ham,Thanks for your help today.
ham,Thanks for your help today.
ham,Meeting postponed to 3pm.
ham,"Hey, are we still meeting later?"
ham,Please call me when you're free.
ham,Happy birthday! Have a great day!
ham,Don't forget to bring the documents.
spam,Your loan is approved. Call 800 123 4567 to proceed.
ham,Let's catch up tomorrow.
ham,Happy birthday! Have a great day!
ham,"Hey, are we still meeting later?"
ham,Thanks for your help today.
ham,Let's catch up tomorrow.
ham,I'm on my way home.
spam,"Earn $5000 a week from home, click here to sign up!"
spam,Your loan is approved. Call 800 123 4567 to proceed.
ham,"Ok, see you then!"
ham,Don't forget to bring the documents.
ham,"Ok, see you then!"
spam,URGENT: Your account has been compromised. Call 0900 555 1212 now.
ham,Meeting postponed to 3pm.
ham,Happy birthday! Have a great day!
ham,Happy birthday! Have a great day!
ham,I'm on my way home.
ham,"Ok, see you then!"
ham,Please call me when you're free.
ham,Don't forget to bring the documents.
ham,Let's catch up tomorrow.
ham,Thanks for your help today.
ham,Happy birthday! Have a great day!
spam,Congratulations! You've won a $1000 prize. Text WIN to 12345 to claim.
ham,"Hey, are we still meeting later?"
spam,Exclusive offer for valued customers. Reply CLAIM now!
ham,Don't forget to bring the documents.
spam,"Earn $5000 a week from home, click here to sign up!"
spam,Your loan is approved. Call 800 123 4567 to proceed.
ham,Meeting postponed to 3pm.
ham,Meeting postponed to 3pm.
ham,Please call me when you're free.
ham,Thanks for your help today.
ham,"Love you, goodnight."
ham,"Love you, goodnight."
ham,Don't forget to bring the documents.
spam,Free entry in our competition. Text YES to 80000 now!
ham,"Ok, see you then!"
ham,"Ok, see you then!"
ham,Please call me when you're free.
ham,Let's catch up tomorrow.
ham,Let's catch up tomorrow.
ham,Meeting postponed to 3pm.
ham,Thanks for your help today.
